Year,SOURCE_DETAIL,SDG Series,Type of product,Source details,Value
2000,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.01546
2001,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.01609
2002,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.01667
2003,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.0174
2004,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.01846
2005,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.01535
2006,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.02078
2007,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.01369
2008,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.01234
2009,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.01308
2010,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.01019
2011,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.00769
2012,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.00591
2013,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.00472
2014,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.00487
2015,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.00449
2016,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.00575
2017,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.00539
2018,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.00286
2019,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.0033
2020,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.00329
2021,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.00348
2022,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",,WESR / Global Material Flows Database,0.0036
